scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3D_br,mMed10_mDM1_lam1p0,10.0,1.0,1.0,0.1949847,13753.538669900001,10000
S3D_br,mMed10_mDM1_lam1p5,10.0,1.0,1.5,0.4387156,15971.6205166,10000
S3D_br,mMed10_mDM1_lam2p0,10.0,1.0,2.0,0.7799388,19186.015849,10000
S3D_br,mMed10_mDM1_lam2p2,10.0,1.0,2.2,0.9437259,21006.501946,10000
S3D_br,mMed10_mDM1_lam2p5,10.0,1.0,2.5,1.218654,24052.988591999998,10000
S3D_br,mMed10_mDM1_lam3p0,10.0,1.0,3.0,1.754862,30472.20211,10000
S3D_br,mMed10_mDM1_lam3p5,10.0,1.0,3.5,2.388563,38676.8539,10000
S3D_br,mMed10_mDM1_lam4p0,10.0,1.0,4.0,3.119755,49533.15738,10000
S3D_br,mMed10_mDM1_lam4p5,10.0,1.0,4.5,3.94844,62821.66019,10000
S3D_br,mMed10_mDM1_lam5p0,10.0,1.0,5.0,4.874617,80110.1442,10000
S3D_br,mMed50_mDM1_lam1p0,50.0,1.0,1.0,0.9939228,3364.45396272,10000
S3D_br,mMed50_mDM1_lam1p5,50.0,1.0,1.5,2.236326,3945.4064901999996,10000
S3D_br,mMed50_mDM1_lam2p0,50.0,1.0,2.0,3.975691,4707.609095100001,10000
S3D_br,mMed50_mDM1_lam2p2,50.0,1.0,2.2,4.810586,5097.593552,10000
S3D_br,mMed50_mDM1_lam2p5,50.0,1.0,2.5,6.212017,6230.1715890000005,10000
S3D_br,mMed50_mDM1_lam3p0,50.0,1.0,3.0,8.945305,7830.157066,10000
S3D_br,mMed50_mDM1_lam3p5,50.0,1.0,3.5,12.17555,9719.847228999999,10000
S3D_br,mMed50_mDM1_lam4p0,50.0,1.0,4.0,15.90276,12067.6837,10000
S3D_br,mMed50_mDM1_lam4p5,50.0,1.0,4.5,20.12694,14975.19213,10000
S3D_br,mMed50_mDM1_lam5p0,50.0,1.0,5.0,24.84807,18349.35241,10000
S3D_br,mMed50_mDM10_lam1p0,50.0,10.0,1.0,0.9167325,3051.7450866900003,10000
S3D_br,mMed50_mDM10_lam1p5,50.0,10.0,1.5,2.062648,3565.7157447,10000
S3D_br,mMed50_mDM10_lam2p0,50.0,10.0,2.0,3.66693,4304.207469200001,10000
S3D_br,mMed50_mDM10_lam2p2,50.0,10.0,2.2,4.436985,4690.830099,10000
S3D_br,mMed50_mDM10_lam2p5,50.0,10.0,2.5,5.729578,5630.008425,10000
S3D_br,mMed50_mDM10_lam3p0,50.0,10.0,3.0,8.250592,7107.063511,10000
S3D_br,mMed50_mDM10_lam3p5,50.0,10.0,3.5,11.22997,8911.614772,10000
S3D_br,mMed50_mDM10_lam4p0,50.0,10.0,4.0,14.66772,11226.82286,10000
S3D_br,mMed50_mDM10_lam4p5,50.0,10.0,4.5,18.56383,13919.97742,10000
S3D_br,mMed50_mDM10_lam5p0,50.0,10.0,5.0,22.91831,17261.36792,10000
S3D_br,mMed100_mDM1_lam1p0,100.0,1.0,1.0,1.989039,764.89823938,10000
S3D_br,mMed100_mDM1_lam1p5,100.0,1.0,1.5,4.475338,909.28366934,10000
S3D_br,mMed100_mDM1_lam2p0,100.0,1.0,2.0,7.956156,1115.1519898,10000
S3D_br,mMed100_mDM1_lam2p2,100.0,1.0,2.2,9.626948,1201.8153854,10000
S3D_br,mMed100_mDM1_lam2p5,100.0,1.0,2.5,12.43149,1541.9690825,10000
S3D_br,mMed100_mDM1_lam3p0,100.0,1.0,3.0,17.90135,1924.8708765,10000
S3D_br,mMed100_mDM1_lam3p5,100.0,1.0,3.5,24.36573,2376.188112,10000
S3D_br,mMed100_mDM1_lam4p0,100.0,1.0,4.0,31.82462,2910.789719,10000
S3D_br,mMed100_mDM1_lam4p5,100.0,1.0,4.5,40.27804,3541.512213,10000
S3D_br,mMed100_mDM1_lam5p0,100.0,1.0,5.0,49.72597,4313.675035,10000
S3D_br,mMed100_mDM10_lam1p0,100.0,10.0,1.0,1.949847,761.61629548,10000
S3D_br,mMed100_mDM10_lam1p5,100.0,10.0,1.5,4.387156,905.10711057,10000
S3D_br,mMed100_mDM10_lam2p0,100.0,10.0,2.0,7.799388,1108.4033811,10000
S3D_br,mMed100_mDM10_lam2p2,100.0,10.0,2.2,9.437259,1197.2617025,10000
S3D_br,mMed100_mDM10_lam2p5,100.0,10.0,2.5,12.18654,1507.3657942999998,10000
S3D_br,mMed100_mDM10_lam3p0,100.0,10.0,3.0,17.54862,1862.2899593,10000
S3D_br,mMed100_mDM10_lam3p5,100.0,10.0,3.5,23.88563,2309.810617,10000
S3D_br,mMed100_mDM10_lam4p0,100.0,10.0,4.0,31.19755,2834.760335,10000
S3D_br,mMed100_mDM10_lam4p5,100.0,10.0,4.5,39.4844,3449.99697,10000
S3D_br,mMed100_mDM10_lam5p0,100.0,10.0,5.0,48.74617,4194.5330300000005,10000
S3D_br,mMed100_mDM50_lam1p0,100.0,50.0,1.0,1.119058,489.487527384,10000
S3D_br,mMed100_mDM50_lam1p5,100.0,50.0,1.5,2.517881,581.62490227,10000
S3D_br,mMed100_mDM50_lam2p0,100.0,50.0,2.0,4.476233,708.4507322,10000
S3D_br,mMed100_mDM50_lam2p2,100.0,50.0,2.2,5.416242,770.7189933999999,10000
S3D_br,mMed100_mDM50_lam2p5,100.0,50.0,2.5,6.994114,883.2616304,10000
S3D_br,mMed100_mDM50_lam3p0,100.0,50.0,3.0,10.07152,1109.1160402,10000
S3D_br,mMed100_mDM50_lam3p5,100.0,50.0,3.5,13.70846,1370.245113,10000
S3D_br,mMed100_mDM50_lam4p0,100.0,50.0,4.0,17.90493,1696.1049280000002,10000
S3D_br,mMed100_mDM50_lam4p5,100.0,50.0,4.5,22.66093,2094.518613,10000
S3D_br,mMed100_mDM50_lam5p0,100.0,50.0,5.0,27.97645,2579.223098,10000
S3D_br,mMed200_mDM1_lam1p0,200.0,1.0,1.0,3.978675,54.695765779000006,10000
S3D_br,mMed200_mDM1_lam1p5,200.0,1.0,1.5,8.952018,71.154129975,10000
S3D_br,mMed200_mDM1_lam2p0,200.0,1.0,2.0,15.9147,95.79171918,10000
S3D_br,mMed200_mDM1_lam2p2,200.0,1.0,2.2,19.25679,107.7589036,10000
S3D_br,mMed200_mDM1_lam2p5,200.0,1.0,2.5,24.86672,137.67699042,10000
S3D_br,mMed200_mDM1_lam3p0,200.0,1.0,3.0,35.80807,188.6428243,10000
S3D_br,mMed200_mDM1_lam3p5,200.0,1.0,3.5,48.73876,255.4681423,10000
S3D_br,mMed200_mDM1_lam4p0,200.0,1.0,4.0,63.65879,342.5807794,10000
S3D_br,mMed200_mDM1_lam4p5,200.0,1.0,4.5,80.56816,453.6613257,10000
S3D_br,mMed200_mDM1_lam5p0,200.0,1.0,5.0,99.46687,596.9009140000001,10000
S3D_br,mMed200_mDM10_lam1p0,200.0,10.0,1.0,3.959004,54.82060853,10000
S3D_br,mMed200_mDM10_lam1p5,200.0,10.0,1.5,8.907759,71.293520547,10000
S3D_br,mMed200_mDM10_lam2p0,200.0,10.0,2.0,15.83602,95.99672753,10000
S3D_br,mMed200_mDM10_lam2p2,200.0,10.0,2.2,19.16158,108.48964385,10000
S3D_br,mMed200_mDM10_lam2p5,200.0,10.0,2.5,24.74378,136.36110065,10000
S3D_br,mMed200_mDM10_lam3p0,200.0,10.0,3.0,35.63104,186.5662155,10000
S3D_br,mMed200_mDM10_lam3p5,200.0,10.0,3.5,48.4978,251.521531,10000
S3D_br,mMed200_mDM10_lam4p0,200.0,10.0,4.0,63.34407,338.2599369,10000
S3D_br,mMed200_mDM10_lam4p5,200.0,10.0,4.5,80.16983,449.08110369999997,10000
S3D_br,mMed200_mDM10_lam5p0,200.0,10.0,5.0,98.9751,590.131799,10000
S3D_br,mMed200_mDM50_lam1p0,200.0,50.0,1.0,3.497057,52.785932480999996,10000
S3D_br,mMed200_mDM50_lam1p5,200.0,50.0,1.5,7.868378,67.024846483,10000
S3D_br,mMed200_mDM50_lam2p0,200.0,50.0,2.0,13.98823,87.69437038,10000
S3D_br,mMed200_mDM50_lam2p2,200.0,50.0,2.2,16.92576,97.24497953,10000
S3D_br,mMed200_mDM50_lam2p5,200.0,50.0,2.5,21.85661,114.66310576,10000
S3D_br,mMed200_mDM50_lam3p0,200.0,50.0,3.0,31.47351,150.9947271,10000
S3D_br,mMed200_mDM50_lam3p5,200.0,50.0,3.5,42.83895,198.32271699999998,10000
S3D_br,mMed200_mDM50_lam4p0,200.0,50.0,4.0,55.95291,259.2211347,10000
S3D_br,mMed200_mDM50_lam4p5,200.0,50.0,4.5,70.8154,335.5423555,10000
S3D_br,mMed200_mDM50_lam5p0,200.0,50.0,5.0,87.42642,435.172014,10000
S3D_br,mMed200_mDM100_lam1p0,200.0,100.0,1.0,2.238116,46.439947499999995,10000
S3D_br,mMed200_mDM100_lam1p5,200.0,100.0,1.5,5.035762,56.436888565000004,10000
S3D_br,mMed200_mDM100_lam2p0,200.0,100.0,2.0,8.952466,70.46917846999999,10000
S3D_br,mMed200_mDM100_lam2p2,200.0,100.0,2.2,10.83248,77.01013002,10000
S3D_br,mMed200_mDM100_lam2p5,200.0,100.0,2.5,13.98823,87.88748427,10000
S3D_br,mMed200_mDM100_lam3p0,200.0,100.0,3.0,20.14305,107.26251102,10000
S3D_br,mMed200_mDM100_lam3p5,200.0,100.0,3.5,27.41693,134.8149086,10000
S3D_br,mMed200_mDM100_lam4p0,200.0,100.0,4.0,35.80986,168.8756219,10000
S3D_br,mMed200_mDM100_lam4p5,200.0,100.0,4.5,45.32186,211.1470455,10000
S3D_br,mMed200_mDM100_lam5p0,200.0,100.0,5.0,55.95291,265.37032849999997,10000
S3D_br,mMed500_mDM1_lam1p0,500.0,1.0,1.0,9.947104,0.68809120607,10000
S3D_br,mMed500_mDM1_lam1p5,500.0,1.0,1.5,22.38098,1.1588108419,10000
S3D_br,mMed500_mDM1_lam2p0,500.0,1.0,2.0,39.78842,2.046729612,10000
S3D_br,mMed500_mDM1_lam2p2,500.0,1.0,2.2,48.14399,2.568639972,10000
S3D_br,mMed500_mDM1_lam2p5,500.0,1.0,2.5,62.1694,3.606176579,10000
S3D_br,mMed500_mDM1_lam3p0,500.0,1.0,3.0,89.52394,6.203247585,10000
S3D_br,mMed500_mDM1_lam3p5,500.0,1.0,3.5,121.852,10.14567798,10000
S3D_br,mMed500_mDM1_lam4p0,500.0,1.0,4.0,159.1537,15.85491371,10000
S3D_br,mMed500_mDM1_lam4p5,500.0,1.0,4.5,201.4289,23.61365146,10000
S3D_br,mMed500_mDM1_lam5p0,500.0,1.0,5.0,248.6776,34.36649628,10000
S3D_br,mMed500_mDM10_lam1p0,500.0,10.0,1.0,9.939228,0.6906429073,10000
S3D_br,mMed500_mDM10_lam1p5,500.0,10.0,1.5,22.36326,1.1674131832,10000
S3D_br,mMed500_mDM10_lam2p0,500.0,10.0,2.0,39.75691,2.0394138396,10000
S3D_br,mMed500_mDM10_lam2p2,500.0,10.0,2.2,48.10586,2.598820017,10000
S3D_br,mMed500_mDM10_lam2p5,500.0,10.0,2.5,62.12017,3.616752299,10000
S3D_br,mMed500_mDM10_lam3p0,500.0,10.0,3.0,89.45305,6.191107018,10000
S3D_br,mMed500_mDM10_lam3p5,500.0,10.0,3.5,121.7555,10.06480183,10000
S3D_br,mMed500_mDM10_lam4p0,500.0,10.0,4.0,159.0276,15.90628667,10000
S3D_br,mMed500_mDM10_lam4p5,500.0,10.0,4.5,201.2694,23.834251130000002,10000
S3D_br,mMed500_mDM10_lam5p0,500.0,10.0,5.0,248.4807,34.10285586,10000
S3D_br,mMed500_mDM50_lam1p0,500.0,50.0,1.0,9.749235,0.67443230512,10000
S3D_br,mMed500_mDM50_lam1p5,500.0,50.0,1.5,21.93578,1.1018872603,10000
S3D_br,mMed500_mDM50_lam2p0,500.0,50.0,2.0,38.99694,1.8913300100000001,10000
S3D_br,mMed500_mDM50_lam2p2,500.0,50.0,2.2,47.1863,2.3369023749999998,10000
S3D_br,mMed500_mDM50_lam2p5,500.0,50.0,2.5,60.93272,3.1756788129999998,10000
S3D_br,mMed500_mDM50_lam3p0,500.0,50.0,3.0,87.74311,5.291903263,10000
S3D_br,mMed500_mDM50_lam3p5,500.0,50.0,3.5,119.4281,8.41211234,10000
S3D_br,mMed500_mDM50_lam4p0,500.0,50.0,4.0,155.9878,13.13630435,10000
S3D_br,mMed500_mDM50_lam4p5,500.0,50.0,4.5,197.422,19.61203333,10000
S3D_br,mMed500_mDM50_lam5p0,500.0,50.0,5.0,243.7309,28.33484298,10000
S3D_br,mMed500_mDM100_lam1p0,500.0,100.0,1.0,9.167325,0.63703840182,10000
S3D_br,mMed500_mDM100_lam1p5,500.0,100.0,1.5,20.62648,0.9868461535999999,10000
S3D_br,mMed500_mDM100_lam2p0,500.0,100.0,2.0,36.6693,1.5791655783,10000
S3D_br,mMed500_mDM100_lam2p2,500.0,100.0,2.2,44.36985,1.924154814,10000
S3D_br,mMed500_mDM100_lam2p5,500.0,100.0,2.5,57.29578,2.4814030810000003,10000
S3D_br,mMed500_mDM100_lam3p0,500.0,100.0,3.0,82.50592,3.937012256,10000
S3D_br,mMed500_mDM100_lam3p5,500.0,100.0,3.5,112.2997,6.10549346,10000
S3D_br,mMed500_mDM100_lam4p0,500.0,100.0,4.0,146.6772,9.12906764,10000
S3D_br,mMed500_mDM100_lam4p5,500.0,100.0,4.5,185.6383,13.52572639,10000
S3D_br,mMed500_mDM100_lam5p0,500.0,100.0,5.0,229.1831,19.34161418,10000
S3D_br,mMed500_mDM200_lam1p0,500.0,200.0,1.0,7.018733,0.56803449225,10000
S3D_br,mMed500_mDM200_lam1p5,500.0,200.0,1.5,15.79215,0.7826356215,10000
S3D_br,mMed500_mDM200_lam2p0,500.0,200.0,2.0,28.07493,1.1178158752,10000
S3D_br,mMed500_mDM200_lam2p2,500.0,200.0,2.2,33.97067,1.290690468,10000
S3D_br,mMed500_mDM200_lam2p5,500.0,200.0,2.5,43.86708,1.611584815,10000
S3D_br,mMed500_mDM200_lam3p0,500.0,200.0,3.0,63.1686,2.200665248,10000
S3D_br,mMed500_mDM200_lam3p5,500.0,200.0,3.5,85.97948,3.132869484,10000
S3D_br,mMed500_mDM200_lam4p0,500.0,200.0,4.0,112.2997,4.46604773,10000
S3D_br,mMed500_mDM200_lam4p5,500.0,200.0,4.5,142.1293,6.27731026,10000
S3D_br,mMed500_mDM200_lam5p0,500.0,200.0,5.0,175.4683,8.65197262,10000
S3D_br,mMed750_mDM1_lam1p0,750.0,1.0,1.0,14.92072,0.07940800539,10000
S3D_br,mMed750_mDM1_lam1p5,750.0,1.0,1.5,33.57163,0.1706303932,10000
S3D_br,mMed750_mDM1_lam2p0,750.0,1.0,2.0,59.68289,0.3656268071,10000
S3D_br,mMed750_mDM1_lam2p2,750.0,1.0,2.2,72.2163,0.490657432,10000
S3D_br,mMed750_mDM1_lam2p5,750.0,1.0,2.5,93.25452,0.7336074128,10000
S3D_br,mMed750_mDM1_lam3p0,750.0,1.0,3.0,134.2865,1.35944683,10000
S3D_br,mMed750_mDM1_lam3p5,750.0,1.0,3.5,182.7789,2.415884984,10000
S3D_br,mMed750_mDM1_lam4p0,750.0,1.0,4.0,238.7316,3.933907736,10000
S3D_br,mMed750_mDM1_lam4p5,750.0,1.0,4.5,302.1446,5.961046189999999,10000
S3D_br,mMed750_mDM1_lam5p0,750.0,1.0,5.0,373.0181,9.035607312,10000
S3D_br,mMed750_mDM10_lam1p0,750.0,10.0,1.0,14.91547,0.0787833524,10000
S3D_br,mMed750_mDM10_lam1p5,750.0,10.0,1.5,33.55981,0.17124862118,10000
S3D_br,mMed750_mDM10_lam2p0,750.0,10.0,2.0,59.66188,0.3641233237,10000
S3D_br,mMed750_mDM10_lam2p2,750.0,10.0,2.2,72.19088,0.5008531969,10000
S3D_br,mMed750_mDM10_lam2p5,750.0,10.0,2.5,93.2217,0.7276072485,10000
S3D_br,mMed750_mDM10_lam3p0,750.0,10.0,3.0,134.2392,1.3883851379999999,10000
S3D_br,mMed750_mDM10_lam3p5,750.0,10.0,3.5,182.7145,2.44647165,10000
S3D_br,mMed750_mDM10_lam4p0,750.0,10.0,4.0,238.6475,3.917286614,10000
S3D_br,mMed750_mDM10_lam4p5,750.0,10.0,4.5,302.0383,6.029976147,10000
S3D_br,mMed750_mDM10_lam5p0,750.0,10.0,5.0,372.8868,9.21285377,10000
S3D_br,mMed750_mDM50_lam1p0,750.0,50.0,1.0,14.78844,0.07680345344,10000
S3D_br,mMed750_mDM50_lam1p5,750.0,50.0,1.5,33.27399,0.15923645708,10000
S3D_br,mMed750_mDM50_lam2p0,750.0,50.0,2.0,59.15377,0.3353262978,10000
S3D_br,mMed750_mDM50_lam2p2,750.0,50.0,2.2,71.57606,0.4428894822,10000
S3D_br,mMed750_mDM50_lam2p5,750.0,50.0,2.5,92.42776,0.6465789382,10000
S3D_br,mMed750_mDM50_lam3p0,750.0,50.0,3.0,133.096,1.200673255,10000
S3D_br,mMed750_mDM50_lam3p5,750.0,50.0,3.5,181.1584,2.057112191,10000
S3D_br,mMed750_mDM50_lam4p0,750.0,50.0,4.0,236.6151,3.358194498,10000
S3D_br,mMed750_mDM50_lam4p5,750.0,50.0,4.5,299.4659,5.1861436020000005,10000
S3D_br,mMed750_mDM50_lam5p0,750.0,50.0,5.0,369.711,7.6535788,10000
S3D_br,mMed750_mDM100_lam1p0,750.0,100.0,1.0,14.39498,0.07136348576,10000
S3D_br,mMed750_mDM100_lam1p5,750.0,100.0,1.5,32.38869,0.13803684829,10000
S3D_br,mMed750_mDM100_lam2p0,750.0,100.0,2.0,57.5799,0.2726717301,10000
S3D_br,mMed750_mDM100_lam2p2,750.0,100.0,2.2,69.67168,0.3549847279,10000
S3D_br,mMed750_mDM100_lam2p5,750.0,100.0,2.5,89.96859,0.5015837297,10000
S3D_br,mMed750_mDM100_lam3p0,750.0,100.0,3.0,129.5548,0.9005706099999999,10000
S3D_br,mMed750_mDM100_lam3p5,750.0,100.0,3.5,176.3384,1.509852807,10000
S3D_br,mMed750_mDM100_lam4p0,750.0,100.0,4.0,230.3196,2.448536357,10000
S3D_br,mMed750_mDM100_lam4p5,750.0,100.0,4.5,291.4982,3.762413392,10000
