scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3M_br,mMed10_mDM1_lam1p0,10.0,1.0,1.0,0.1949847,13549.0592446,10000
S3M_br,mMed10_mDM1_lam1p5,10.0,1.0,1.5,0.4387156,15690.6773388,10000
S3M_br,mMed10_mDM1_lam2p0,10.0,1.0,2.0,0.7799388,18743.383753,10000
S3M_br,mMed10_mDM1_lam2p2,10.0,1.0,2.2,0.9437259,20376.757028,10000
S3M_br,mMed10_mDM1_lam2p5,10.0,1.0,2.5,1.218654,23333.866539000002,10000
S3M_br,mMed10_mDM1_lam3p0,10.0,1.0,3.0,1.754862,29240.09109,10000
S3M_br,mMed10_mDM1_lam3p5,10.0,1.0,3.5,2.388563,37461.22771,10000
S3M_br,mMed10_mDM1_lam4p0,10.0,1.0,4.0,3.119755,47945.12268,10000
S3M_br,mMed10_mDM1_lam4p5,10.0,1.0,4.5,3.94844,61383.19741,10000
S3M_br,mMed10_mDM1_lam5p0,10.0,1.0,5.0,4.874617,79211.2066,10000
S3M_br,mMed50_mDM1_lam1p0,50.0,1.0,1.0,0.9939228,3341.83335356,10000
S3M_br,mMed50_mDM1_lam1p5,50.0,1.0,1.5,2.236326,3841.8469656,10000
S3M_br,mMed50_mDM1_lam2p0,50.0,1.0,2.0,3.975691,4586.2599905,10000
S3M_br,mMed50_mDM1_lam2p2,50.0,1.0,2.2,4.810586,4932.416803,10000
S3M_br,mMed50_mDM1_lam2p5,50.0,1.0,2.5,6.212017,6100.423213,10000
S3M_br,mMed50_mDM1_lam3p0,50.0,1.0,3.0,8.945305,7671.270803,10000
S3M_br,mMed50_mDM1_lam3p5,50.0,1.0,3.5,12.17555,9642.110166,10000
S3M_br,mMed50_mDM1_lam4p0,50.0,1.0,4.0,15.90276,11878.78154,10000
S3M_br,mMed50_mDM1_lam4p5,50.0,1.0,4.5,20.12694,14768.820109999999,10000
S3M_br,mMed50_mDM1_lam5p0,50.0,1.0,5.0,24.84807,18321.937850000002,10000
S3M_br,mMed50_mDM10_lam1p0,50.0,10.0,1.0,0.9167325,3034.14039939,10000
S3M_br,mMed50_mDM10_lam1p5,50.0,10.0,1.5,2.062648,3499.0004696,10000
S3M_br,mMed50_mDM10_lam2p0,50.0,10.0,2.0,3.66693,4172.2787382,10000
S3M_br,mMed50_mDM10_lam2p2,50.0,10.0,2.2,4.436985,4511.705002,10000
S3M_br,mMed50_mDM10_lam2p5,50.0,10.0,2.5,5.729578,5501.824122999999,10000
S3M_br,mMed50_mDM10_lam3p0,50.0,10.0,3.0,8.250592,6877.504415,10000
S3M_br,mMed50_mDM10_lam3p5,50.0,10.0,3.5,11.22997,8610.530986,10000
S3M_br,mMed50_mDM10_lam4p0,50.0,10.0,4.0,14.66772,10745.53782,10000
S3M_br,mMed50_mDM10_lam4p5,50.0,10.0,4.5,18.56383,13359.667370000001,10000
S3M_br,mMed50_mDM10_lam5p0,50.0,10.0,5.0,22.91831,16439.68853,10000
S3M_br,mMed100_mDM1_lam1p0,100.0,1.0,1.0,1.989039,768.17611662,10000
S3M_br,mMed100_mDM1_lam1p5,100.0,1.0,1.5,4.475338,921.4362138299999,10000
S3M_br,mMed100_mDM1_lam2p0,100.0,1.0,2.0,7.956156,1121.8428458,10000
S3M_br,mMed100_mDM1_lam2p2,100.0,1.0,2.2,9.626948,1228.4497884,10000
S3M_br,mMed100_mDM1_lam2p5,100.0,1.0,2.5,12.43149,1527.6852207,10000
S3M_br,mMed100_mDM1_lam3p0,100.0,1.0,3.0,17.90135,1903.3543389999998,10000
S3M_br,mMed100_mDM1_lam3p5,100.0,1.0,3.5,24.36573,2334.440059,10000
S3M_br,mMed100_mDM1_lam4p0,100.0,1.0,4.0,31.82462,2860.349384,10000
S3M_br,mMed100_mDM1_lam4p5,100.0,1.0,4.5,40.27804,3483.158219,10000
